row,legacy_url,title,brand,match_method,ad_id
1720,/advert/sony/summer-of-psp,Summer Of PSP,Sony,brand_year_unique,440cb21c-f678-448e-bce1-d0debda161a5
1731,/advert/tesco/healthy-living-range,Healthy Living Range,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1758,/advert/tesco/mr-bean's-holiday-dvd-offer,Mr Bean's Holiday DVD Offer,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1761,/advert/marks-%26-spencer/autumn%2Fwinter-2012---girl-like-you,Autumn/Winter 2012 - Girl Like You,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1816,/advert/xbox-360/transformers---the-game,Transformers - The Game,Xbox 360,brand_year_unique,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b
1819,/advert/john-lewis/dyson-corrale,Dyson Corrale,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
1822,/advert/tesco/the-bread-perfectionists,The Bread Perfectionists,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1824,/advert/sony/walkman---music-like-no-other,Walkman - Music Like No Other,Sony,brand_year_unique,440cb21c-f678-448e-bce1-d0debda161a5
1825,/advert/marks-%26-spencer/adventures-in-tea-time,Adventures In Tea-Time,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1865,/advert/jeremy-clarkson/duel,Duel,Jeremy Clarkson,external_id,766e98bf-5317-4a0b-9865-31f1b29c3b4b
1877,/advert/john-lewis/spring-performances,Spring Performances,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
1908,/advert/sunday-mirror/premier-plus-football-guide,Premier Plus Football Guide,Sunday Mirror,brand_year_unique,141ebb07-c7e7-4574-b544-aacecdfdec5b
1961,/advert/asda/award-winning-whites,Award Winning Whites,Asda,external_id,2eedde31-e06d-4306-99cf-0f7f9b7efff1
1997,/advert/john-lewis/for-all-life's-moments,For All Life's Moments,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
2044,/advert/tesco/modern-warfare-3---eggs,Modern Warfare 3 - Eggs,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2055,/advert/warner-bros/no-reservations,No Reservations,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2080,/advert/marks-%26-spencer/christmas-starts-here,Christmas Starts Here,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2082,/advert/sunday-mirror/world-cup-2010,World Cup 2010,Sunday Mirror,external_id,141ebb07-c7e7-4574-b544-aacecdfdec5b
2086,/advert/marks-%26-spencer/bodyshaper-swimwear,Bodyshaper Swimwear,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2090,/advert/warner-bros/the-gallows,The Gallows,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2152,/advert/tesco/f%26f---glide---kidswear,F&F - Glide - Kidswear,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2155,/advert/warner-bros/no-reservations,No Reservations,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2158,/advert/marks-%26-spencer/mother's-day,Mother's Day,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2206,/advert/tesco/mother's-day-with-brownie-points,Mother's Day With Brownie Points,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2216,/advert/ministry-of-sound/summer-sessions,Summer Sessions,Ministry Of Sound,brand_year_unique,73562224-af74-4ed8-8a46-6d571eee46d5
2241,/advert/olympus/pen---camera-guy,Pen - Camera Guy,Olympus,brand_year_unique,ed4cd8a1-5e35-410b-81b0-b145542da551
2251,/advert/tesco/barcode-scanner-app,Barcode Scanner App,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2266,/advert/warner-bros/crazy-stupid-love,Crazy Stupid Love,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2281,/advert/warner-bros/sinners,Sinners,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2290,/advert/warner-bros/nancy-drew,Nancy Drew,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
2294,/advert/marks-%26-spencer/white-chocolate-cheesecake,White Chocolate Cheesecake,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2325,/advert/marks-%26-spencer/spend-it-well,Spend It Well,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2344,/advert/hmv/rolling-stones---rolled-gold-%2B,Rolling Stones - Rolled Gold +,HMV,brand_year_unique,92847a8f-18f7-4274-aa0d-cf2d3a1a5a23
2375,/advert/tesco/christmas-2012---finest-bronze-turkey,Christmas 2012 - Finest Bronze Turkey,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2392,/advert/olay/regenerist-3-point-treatment-cream,Regenerist 3 Point Treatment Cream,Olay,external_id,9c40435b-133f-490b-97e6-614e1ff9597a
2401,/advert/bell's/the-big-word-written-on-the-bottle,The Big Word Written On The Bottle,Bell's,brand_year_unique,7e5c30d5-2bb2-40aa-a67e-7ef29e74d4cf
2459,/advert/marks-%26-spencer/true-colours,True Colours,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
2461,/advert/tesco/christmas-nap,Christmas Nap,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
2479,/advert/sony/ready-when-you-are,Ready When You Are,Sony,brand_year_unique,440cb21c-f678-448e-bce1-d0debda161a5
